categorie,capacite,prix,montant
music,2530,93.8922214198843,48140.0
theatre,6037,1658.5984881586699,1563200.0
general,6370,844.4074797266583,631050.0
sport,3192,818.0694803079999,546710.0
music,4877,1957.4411309379666,1418370.0
theatre,9063,1447.945058934249,1400520.0
art,6563,591.3741275242934,556610.0
general,6233,1160.081980832578,1289890.0
sport,8214,1255.387273293558,1203060.0
sport,349,1082.6945196520282,50970.0
music,9184,951.7138389569475,1236830.0
general,2717,520.7869898122477,170090.0
theatre,7017,1285.1711138561982,1817460.0
general,5676,1745.0472294175936,1457390.0
art,438,246.59701014228096,20180.0
music,3268,1338.6634876436713,675700.0
art,3566,997.456573108612,375720.0
art,500,545.099310946807,59150.0
art,4475,278.4216766524832,190690.0
art,9355,1288.228915836135,1893910.0
art,8222,1127.9772341837463,1387980.0
music,5120,604.1148569788551,584700.0
sport,8003,609.5180258734812,1116190.0
general,1637,500.33989555823035,161650.0
theatre,8508,1796.5561461271502,3056270.0
music,5962,765.1283093632617,547270.0
art,2656,1019.7463640534295,349500.0
theatre,6888,1831.7778584553796,2258620.0
general,9608,885.6794825384851,771840.0
art,4642,999.8806536350506,737820.0
art,9591,259.4181321654918,359520.0
music,1330,721.6372114606446,206970.0
theatre,71,412.4656253948633,7440.0
general,1381,1007.2251511414028,223920.0
general,253,1170.6120376709034,54290.0
art,5588,103.15222477149266,104890.0
general,1796,1625.3026782299619,366650.0
music,9481,1440.786205798173,1573690.0
theatre,7598,1564.41316740076,1383810.0
art,9633,1346.0598170966452,2169300.0
theatre,4389,1085.032946230774,866520.0
art,7220,1467.9189818358338,1347190.0
sport,6345,164.61688590542488,307240.0
sport,9443,1992.9538685956793,3416300.0
art,8348,850.2712835390209,1094590.0
art,8494,948.3328856988674,1022600.0
theatre,3890,711.3358453101835,549860.0
theatre,8702,55.320688639783015,130720.0
theatre,1580,632.1315722983123,131520.0
music,697,355.1880421606497,40730.0
music,595,1572.6758167427258,205020.0
sport,7182,1568.0802391905722,2286200.0
general,1058,522.5892215133596,66220.0
sport,565,1346.7351905364833,182680.0
music,2093,667.3376117668113,195400.0
general,9945,161.73157132915782,301540.0
general,3821,727.593730090976,334240.0
theatre,6653,980.8875527199798,1389580.0
art,1202,1370.1909482835947,260560.0
general,8386,117.07129826859975,152830.0
art,539,1500.267750739404,112070.0
music,4594,1232.651562103743,1251960.0
music,8630,887.676140655546,967120.0
art,1777,209.0899872982228,92800.0
sport,104,985.3476952817883,25340.0
general,7746,1120.9224206034955,1221080.0
music,1596,1079.4808516340454,274140.0
music,1019,1359.446985933591,163460.0
music,4310,1653.699350298758,1655580.0
theatre,7677,413.3863078945248,646250.0
art,1048,754.1535827497523,101150.0
art,8143,399.599311324476,644070.0
theatre,1174,501.16602459530156,92830.0
general,5750,1929.2654185820795,1488760.0
art,5974,910.5152764426833,689520.0
general,2455,1333.3979683226687,397420.0
theatre,9509,1666.5193331164066,2292290.0
theatre,9339,1935.0072538829766,2486330.0
sport,218,243.56859462788339,11430.0
music,2698,169.2768397889073,100730.0
theatre,6354,468.1103204996162,425300.0
art,627,434.38521362788407,53240.0
sport,8102,1805.4441873835995,3519150.0
music,4886,260.89965490246936,216190.0
music,7792,1358.9368144626696,1526610.0
art,9117,1860.491925138381,3144150.0
art,7778,317.84719461245527,463680.0
art,7690,1919.0066915250616,2676830.0
art,9450,309.2267759993201,468560.0
theatre,2216,1869.5568385147708,647310.0
theatre,1601,877.0893979314222,149270.0
theatre,994,14.04000945153272,10390.0
general,7013,560.9005454831055,512850.0
general,7244,97.63468523396624,126490.0
music,3348,1731.8905724440497,1260500.0
theatre,4685,1879.6412130219217,1094920.0
theatre,3147,1746.8724983715294,1138950.0
art,3764,1986.9722300542248,857590.0
music,398,229.2400432566222,25660.0
theatre,5096,1183.6769494227085,828590.0
general,2572,170.2361834296937,63500.0
sport,7110,1313.163595131077,1958930.0
sport,4207,84.5202050569216,83870.0
theatre,5877,1782.7468280707155,1266450.0
music,3656,1872.2360763050056,863200.0
sport,6006,1271.7852546675808,1709010.0
sport,8570,1457.419874867727,2551560.0
general,9799,1444.5184297970923,1329250.0
art,3394,853.6152369563758,435510.0
music,8919,646.8374933964882,792890.0
art,2838,1781.6152435562205,709820.0
general,4630,1136.7701128764475,566160.0
theatre,6350,404.4244508562902,288550.0
music,3397,934.4704753623004,650260.0
sport,8472,1116.7262406776567,2335710.0
theatre,3250,912.1611998466894,368560.0
art,2928,1608.3100295082186,537600.0
art,1492,1349.586395692978,394350.0
general,3710,351.02408340880766,180820.0
art,4062,1405.687994170967,942750.0
art,2929,1395.8366714896765,462860.0
music,6595,1764.4935883097257,1317680.0
art,3686,1775.9088675088576,1148730.0
sport,9226,869.8950678446957,1697250.0
theatre,2887,1973.21989209903,910600.0
sport,9320,490.7080775569352,673030.0
sport,551,480.53161059872497,42940.0
art,303,1190.3436633832298,35730.0
art,8105,859.4377856966755,851670.0
theatre,9032,1555.8371065079182,2142610.0
music,9248,145.8219651485455,338290.0
theatre,2509,1885.8981575211228,1008840.0
music,119,1493.9173634323809,34270.0
general,577,1431.6067769102672,136410.0
general,3053,281.6278906854166,121830.0
theatre,1538,637.5890365987165,208890.0
theatre,4662,590.6953694039929,588180.0
sport,7032,277.7087141878698,308930.0
general,8057,1677.0773850559374,2500010.0
theatre,8345,364.34634992458024,726520.0
music,7702,186.8029933503732,353340.0
theatre,5427,93.51516780757008,113760.0
art,5064,898.6534235685808,521920.0
general,5183,927.0801595547969,720950.0
theatre,4258,1180.2835256023177,764900.0
theatre,8780,832.5822295202734,1260670.0
general,5330,131.3222228672175,149900.0
theatre,7885,1444.6413641240026,1218330.0
general,8699,521.4519144344964,498100.0
music,1132,621.9012817558936,94000.0
theatre,8504,1756.660019571095,1570810.0
sport,1123,1673.770353166209,267960.0
theatre,1936,1877.0127137473924,655820.0
theatre,9099,1412.0730122187113,2146260.0
general,1900,1005.2291752347691,340690.0
general,7090,431.4441311261068,622460.0
general,6163,692.1945278464285,701680.0
theatre,196,1422.8322604999744,37230.0
art,6928,1129.3312266090277,1571860.0
general,7533,1026.330073765241,1387860.0
music,9960,1059.3228701750177,2062950.0
art,7537,847.4278837365255,1037720.0
sport,6245,1288.6493582955734,1606980.0
sport,5379,405.0198434362582,362720.0
sport,3876,1050.1516069509707,823640.0
art,2250,783.0921088092438,294180.0
art,9723,1591.6940822622141,2990060.0
art,3313,1058.955393966864,407240.0
sport,2612,304.9919348104586,148840.0
sport,8794,1925.366539728439,2231900.0
general,1294,818.9941936285767,203880.0
sport,549,981.8857847973734,62870.0
sport,686,250.46980217554383,42630.0
art,7540,548.9438744103333,465050.0
sport,6972,1970.8944192543145,2271330.0
theatre,8942,343.8515153827708,625900.0
general,119,1730.2294202387575,33000.0
sport,9943,380.97835302318316,831800.0
sport,1677,4.260860621160711,22680.0
theatre,6922,1453.419752369548,2131120.0
general,3206,743.1752506144134,389370.0
general,5373,1780.7076263188785,1413810.0
art,1727,1336.7429127956568,283310.0
music,7664,335.13352659951056,571580.0
art,5377,1494.1474570069445,1509860.0
theatre,2980,1972.097952238738,839250.0
art,9781,1242.413319278091,1709420.0
sport,7772,1090.3700085051973,1533160.0
sport,6846,983.2953593819057,805010.0
art,3349,1763.1764759467053,1188540.0
sport,6808,848.6782864866966,1196810.0
sport,1515,332.53103851879763,78150.0
art,5552,967.0230803958799,900520.0
sport,4841,265.50213123982445,331580.0
sport,4446,880.311573701555,942450.0
sport,6830,54.51896959126002,161650.0
general,7229,538.0161269782928,533010.0
general,6637,797.0077176747017,1024540.0
sport,7492,1788.7791201169696,2451180.0
music,7420,104.26947164113032,221170.0
theatre,704,1894.5731361630606,144360.0
general,3825,1742.2226224323585,981110.0
theatre,3063,812.7458274516086,372480.0
music,6934,844.9416177229956,862320.0
theatre,2163,1897.207988032445,532420.0
art,8867,319.2319254704188,554560.0
music,1130,844.3775959384847,135120.0
theatre,7027,354.3750064111022,553000.0
general,625,949.6756956381904,79420.0
theatre,6055,1263.923553697924,1129450.0
music,445,465.82834636457204,45770.0
general,4350,1203.4467437361332,847310.0
general,4568,1483.0070099399798,989470.0
art,9472,428.4794716890634,581880.0
sport,1262,1798.1432689561238,321450.0
art,3478,1905.332014188729,1102250.0
theatre,1678,1086.7498284948535,363350.0
art,7032,120.67231576345083,206950.0
music,1678,282.9256121987014,101960.0
art,8415,1652.232170452425,2252230.0
theatre,4195,1830.147504357504,1404800.0
music,1636,1478.8322761811853,353080.0
sport,9431,355.44368557202046,487030.0
theatre,6401,809.3264177521997,948580.0
art,7205,71.75793550860953,174330.0
music,4116,1254.9087915956422,1180210.0
sport,2836,78.42236493793008,76300.0
art,540,586.1448743041402,68540.0
sport,1980,1090.5370235929452,290580.0
theatre,9469,1399.311102269331,1985090.0
art,3120,799.123455468812,527860.0
sport,1390,1595.068970682921,428300.0
theatre,6347,985.8695330100728,885960.0
sport,5118,1040.4034209124318,1224970.0
art,9067,612.9538410350331,962610.0
art,7219,1302.947584003883,1357220.0
general,7556,876.9555004603507,834800.0
sport,3139,1245.8037250895654,932930.0
sport,1496,1906.8436685412205,493710.0
art,7985,1018.2293413283148,1148290.0
general,4813,474.0810709076924,310480.0
sport,4465,1749.0234149738985,1811270.0
music,9548,1027.802607202996,1938100.0
sport,784,979.7347338460219,177900.0
music,8595,1813.97480083121,2608720.0
general,623,128.81982055191443,15920.0
general,8125,1170.8550795978467,1660440.0
music,3251,1661.4027639944404,694650.0
theatre,5756,871.5532098027426,1031330.0
theatre,1790,998.7643758366271,386310.0
theatre,1490,558.4344423926548,107380.0
theatre,758,857.973307691052,136850.0
art,2433,689.080399784366,357200.0
art,9686,296.98881027410897,489780.0
sport,267,750.6399862943409,31400.0
art,3277,1395.3614677545256,630890.0
music,7268,100.45086055391872,151300.0
music,3744,1800.16551740251,1074270.0
music,9429,1126.3624542924283,1425760.0
art,1173,291.78009712893015,64630.0
art,6073,217.32302624753964,276890.0
music,9627,1227.115345907645,1452110.0
theatre,322,438.2213727910058,31880.0
art,9352,396.2842895944723,725440.0
art,7630,1744.4941185210555,2090100.0
theatre,7407,906.4282332942457,989960.0
theatre,6055,1488.8897681808353,1661730.0
art,5332,1028.0835358806512,660620.0
art,9250,1965.8930005733123,2287990.0
theatre,5669,136.63693952327495,196450.0
general,9999,1156.4921828046377,1521100.0
music,6255,533.080689464056,835850.0
sport,8745,64.59304406314614,213300.0
general,6140,1736.1750751427887,1918660.0
art,1604,1895.3277713888074,476290.0
sport,9623,1583.9481356154738,3691870.0
theatre,6829,806.0550658324073,802050.0
art,2505,1599.0216599229288,558950.0
music,4569,635.4399246385414,440760.0
sport,3358,477.5527972259461,282280.0
theatre,785,1269.176792797017,151310.0
art,527,1324.6339410165713,103540.0
sport,7841,1674.2685598475116,1571830.0
sport,5694,257.74837409483433,206880.0
sport,7679,1190.0990093661167,1933700.0
music,7613,995.7699017862711,1079420.0
sport,7598,611.6520913478367,1145420.0
sport,9186,6.777543167928224,114390.0
art,8124,837.1163814052187,837390.0
art,8467,1981.8808966840968,2982220.0
sport,661,256.5200822926752,37210.0
music,2572,1823.1201674057168,650500.0
general,8411,1191.7788074123482,1619240.0
art,3295,1268.3771905174895,692170.0
theatre,9654,1953.6754568478907,1983610.0
sport,6643,967.9462190662465,1467630.0
general,5753,1555.4172707141622,1662090.0
general,7093,830.2765768499154,669700.0
theatre,6393,109.47957396603213,109710.0
art,9178,922.4541060293798,1383570.0
music,8195,3.834435226415911,101390.0
music,7322,1965.280656999738,2256790.0
theatre,4718,916.5625022872501,765430.0
art,3996,1312.387417523324,827970.0
theatre,786,1171.4195772843323,142340.0
art,3060,1133.2377269226495,442530.0
theatre,8883,81.98704444652161,264110.0
music,7770,1603.9416638764824,1911280.0
art,6225,1459.6048815660051,1614120.0
art,7693,406.0287056131806,459850.0
music,3753,1882.7582171413994,1154100.0
music,1763,231.27542578544856,82420.0
theatre,5431,168.75792785995446,177360.0
sport,3347,282.1510618603584,131020.0
sport,5619,1976.65471171666,1602560.0
art,5168,1693.0308631757498,1243710.0
general,6212,902.4820579256367,526370.0
theatre,1437,975.9109715231034,229950.0
theatre,7503,862.9340178124212,1043730.0
theatre,6929,1314.3998698794355,1320410.0
art,3612,1255.1547269800355,810760.0
music,6091,916.7454886599802,651160.0
art,9715,670.022107106246,937620.0
music,7617,1258.3364417170924,2012100.0
general,9003,1089.1823105259298,985960.0
music,646,512.4735575597008,79360.0
theatre,6683,230.70679033113083,202820.0
general,9557,1044.3681128358267,1531650.0
general,1427,572.1925358380557,100840.0
general,733,333.70555380270605,29040.0
theatre,7472,1593.3903556040145,2147130.0
theatre,9826,754.0106439807071,1264350.0
theatre,244,116.36402692957049,7630.0
music,943,1038.692903675932,214540.0
art,1582,711.5454192561399,174610.0
sport,3040,275.54645855042656,208600.0
art,1913,1496.7013735959226,358210.0
theatre,2684,696.01662627011,317760.0
general,7240,958.7611699738829,742110.0
general,9074,1337.5279984513022,1105440.0
music,8557,1324.108952978262,2263280.0
theatre,6049,1749.168807117805,1479520.0
music,6787,106.57181003359683,163990.0
theatre,2524,1724.9866693321133,870440.0
theatre,8999,1312.8740694260841,2426120.0
music,1734,254.30618163332187,95240.0
sport,1270,1133.50517585258,269050.0
theatre,1942,1599.0355586178748,594470.0
art,6046,801.5223280794972,904940.0
general,4873,28.69460473290575,75050.0
art,7163,1421.9947888621402,1960550.0
general,7640,1193.7098240874466,919060.0
general,9064,1461.3566294439684,1245850.0
music,8771,534.9307876317378,984590.0
sport,2293,1493.2588462182966,719910.0
music,9665,1236.652692533998,1836500.0
music,8399,312.53648699080316,698200.0
music,938,1591.8569386138065,174410.0
art,8286,559.1876789600702,844660.0
music,6708,1444.1735148659338,1754810.0
general,5980,1315.8500303675755,1158180.0
theatre,3495,451.5281802704034,289050.0
theatre,6369,1998.5972561315218,2711330.0
art,450,1947.3842557450425,151860.0
music,1981,562.7520485618536,218250.0
sport,2883,1732.7427181076807,644690.0
theatre,458,721.8905643587212,73090.0
art,8370,1076.5447264481686,921610.0
sport,9823,273.66862948807704,643700.0
music,7896,1343.4131807489384,1598480.0
theatre,3357,275.3892083597911,110850.0
art,5120,914.9554726311517,917420.0
music,3138,1818.9587551454983,1150500.0
theatre,7782,1737.2465912358593,1912030.0
music,5935,1068.433091317642,1196030.0
art,7971,5.121282081851808,93500.0
art,7182,1387.758382670069,1064820.0
art,7832,840.3519709341278,1006790.0
art,8983,957.0611658477168,1028000.0
art,8918,429.86557390628445,832730.0
sport,2199,1710.7824743496349,558300.0
music,7319,1843.3253463721437,3036100.0
general,432,595.2079338247485,40400.0
art,3727,476.5754343987953,208220.0
theatre,7487,291.97725053009174,440280.0
theatre,9164,1501.4452140150072,1632900.0
art,7782,1497.358377249439,1592290.0
sport,5168,424.80053931367934,403390.0
art,9189,477.34731939389195,619590.0
art,2945,558.1711954619253,343000.0
music,7194,1814.7293245428607,2615210.0
theatre,9489,704.2257932364835,1156120.0
sport,7069,1083.1587069841628,1767450.0
general,8399,1150.5407689511883,1030190.0
art,2888,965.1579478830025,560320.0
sport,9491,602.303291391141,754380.0
theatre,8518,1764.2793457348375,3139300.0
art,3371,25.703933671435088,29020.0
sport,8084,910.0332531109681,1463260.0
music,986,1477.6822435890922,261350.0
sport,7539,350.43331430535176,654730.0
music,9556,1391.4543858046522,1957430.0
art,1212,1527.2464210852268,189670.0
sport,8084,480.51381624167334,827370.0
music,9078,1641.695687434457,3208520.0
art,3529,1512.7548297108833,585710.0
general,8605,994.1119500847759,925030.0
sport,8884,1981.5340635445139,3277070.0
general,5602,1038.4012668596743,660670.0
art,5650,626.6818993740573,362220.0
sport,3967,658.3537427812531,473450.0
art,8976,1247.701745446745,2091260.0
theatre,8085,1305.8857162426373,1662070.0
theatre,2534,1127.4998616845733,318850.0
sport,8062,977.4389258661778,1716350.0
general,9726,259.8993502131919,430310.0
theatre,5989,1775.6539122424692,1185790.0
music,5175,1597.355811803171,1595480.0
general,6273,679.2959658343209,422700.0
theatre,8131,1833.8517437932137,1820560.0
theatre,1656,1208.0610182127464,209650.0
art,7592,999.610601394026,1086800.0
general,6274,1890.1642256841285,1128940.0
general,1265,371.4901460608946,49850.0
general,9749,675.4031472529365,705800.0
sport,753,1633.1736849097829,145120.0
art,1790,1949.818263455204,422160.0
art,2466,494.71413746696504,158240.0
theatre,17,691.3603330536799,10050.0
general,9400,1031.4153451034706,1026550.0
theatre,919,1281.750002506917,160960.0
music,5664,1976.1722014168074,1846290.0
general,5577,932.6310028055489,765720.0
music,1691,1273.0974587010282,264990.0
theatre,9556,345.68285682110167,763670.0
art,8161,1930.3476216520046,2450990.0
sport,6334,933.718778060473,1427110.0
music,8202,35.115438172741435,113250.0
art,1928,988.9397545654022,364610.0
music,4424,602.0745274369419,637000.0
music,9503,344.9427264628866,647520.0
theatre,2931,1818.1692394680035,591470.0
sport,1542,518.476955209372,113060.0
sport,8422,1730.137259701007,2563980.0
theatre,3893,1489.9376589206731,840420.0
art,1964,634.5587008220657,157150.0
theatre,3937,987.5012468404778,422030.0
general,3995,360.573185347421,272020.0
sport,2056,1885.1641650430333,626170.0
theatre,8291,795.0527797940528,1251510.0
music,5080,112.66166000148093,182910.0
general,5691,472.40956112055164,523990.0
sport,1971,483.3000263815248,132660.0
music,5334,1129.699537383684,897080.0
sport,3513,1500.5179659491093,958010.0
sport,2452,1892.2934143752263,1055380.0
theatre,3397,692.0053222586164,348380.0
sport,8892,1057.8549595421966,2159180.0
theatre,2516,1482.7646441706456,424900.0
sport,543,1003.7309065293307,125100.0
music,2327,625.922890470935,326640.0
sport,9514,1519.7197784555394,2814130.0
music,1321,432.15119127024514,143260.0
general,5799,627.4961637924745,601750.0
art,4797,1719.0326821189244,1558810.0
theatre,4396,1252.7396268369628,561560.0
theatre,5862,449.56784351587476,362270.0
general,9312,1665.3304804936795,2015390.0
general,3996,1634.3475525606816,1149450.0
sport,1276,1619.9837869890766,284310.0
music,3998,1630.1325304032787,1137370.0
general,5910,295.58159133683404,284870.0
art,7975,455.5524303676868,817720.0
art,2529,281.96365739020047,124660.0
general,7621,432.4955765478933,341070.0
sport,1816,506.6707170430469,125210.0
art,4168,983.2829286713895,648340.0
sport,3496,1092.108956316398,818650.0
music,8375,1371.3000305728685,1752280.0
art,6493,1983.7393269738131,2161540.0
music,276,332.5405724881316,20930.0
general,9327,299.9015424996105,598910.0
theatre,3349,338.4837292566112,266070.0
art,3055,766.1521224750005,447550.0
theatre,1033,870.0699069405058,158080.0
general,2137,1783.173224136153,691270.0
art,7655,971.0281078114207,1202990.0
theatre,5741,153.65581784179682,132050.0
sport,5328,1427.213756049494,965700.0
general,6620,23.77376256406194,87740.0
music,3994,797.5499077010581,445290.0
sport,5311,749.3726148734614,791560.0
art,9119,570.0405978535379,796840.0
general,9321,1192.2573572972656,1417460.0
art,6887,595.8167829374314,780210.0
general,5396,1917.6449903304197,1063150.0
art,4819,791.6179099395131,631940.0
art,825,1575.331473975356,266270.0
theatre,6830,1867.279370508336,1625220.0
sport,7408,1476.0560257578313,1651220.0
music,7867,1184.0559357203686,1436260.0
theatre,8161,564.604426189953,681650.0
general,5857,1230.7977743201234,996030.0
music,207,876.2177572494545,32470.0
art,4763,1035.0479687287982,962010.0
general,5507,194.9724071931802,252470.0
general,6235,326.7269568585873,433080.0
theatre,9656,256.50749278109,410550.0
general,1718,491.34475325476257,129110.0
theatre,5939,69.51691935485171,81080.0
art,2110,1886.9981223962113,554670.0
general,8180,1726.9226767135617,2260310.0
art,1554,1470.3673568420197,421150.0
art,2075,341.2350622638409,158360.0
sport,5112,439.25722119968367,553180.0
